playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO
castiru01,2015,1,BOS,AL,80,273,35,69,10,2,5,29,4,5,13,54
castiwe01,2015,1,CHN,NL,24,43,5,7,2,0,2,5,0,0,3,12
castiwe01,2015,2,SEA,AL,6,25,3,4,0,0,0,2,0,0,1,5
castiwe01,2015,3,ARI,NL,80,274,34,70,13,1,17,50,0,0,21,75
castran01,2015,1,OAK,AL,5,0,0,0,0,0,0,0,0,0,0,0
castrda01,2015,1,ATL,NL,33,96,14,23,2,1,2,5,0,0,3,15
castrja01,2015,1,HOU,AL,104,337,38,71,19,0,11,31,0,0,33,115
castrmi01,2015,1,TOR,AL,13,0,0,0,0,0,0,0,0,0,0,0
castrmi01,2015,2,COL,NL,5,0,0,0,0,0,0,0,0,0,0,0
castrsi01,2015,1,COL,NL,11,0,0,0,0,0,0,0,0,0,0,0
castrst01,2015,1,CHN,NL,151,547,52,145,23,2,11,69,5,5,21,91
cecchga01,2015,1,BOS,AL,2,4,0,0,0,0,0,0,0,0,0,3
cecilbr01,2015,1,TOR,AL,63,0,0,0,0,0,0,0,0,0,0,0
cecilda01,2015,1,NYN,NL,39,68,5,14,2,0,1,3,5,1,4,25
cedenxa01,2015,1,WAS,NL,5,0,0,0,0,0,0,0,0,0,0,0
cedenxa01,2015,2,TBA,AL,61,0,0,0,0,0,0,0,0,0,0,0
centeju01,2015,1,MIL,NL,10,21,0,1,1,0,0,0,0,0,2,7
cervefr01,2015,1,PIT,NL,130,451,56,133,17,5,7,43,1,1,46,94
cespeyo01,2015,1,DET,AL,102,403,62,118,28,2,18,61,3,4,19,87
cespeyo01,2015,2,NYN,NL,57,230,39,66,14,4,17,44,4,1,14,54
chacijh01,2015,1,ARI,NL,5,8,0,1,0,0,0,0,0,0,0,4
chafian01,2015,1,ARI,NL,66,3,0,0,0,0,0,0,0,0,0,1
chambjo03,2015,1,DET,AL,30,0,0,0,0,0,0,0,0,0,0,0
chambjo03,2015,2,KCA,AL,6,0,0,0,0,0,0,0,0,0,0,0
chapmar01,2015,1,CIN,NL,65,1,1,0,0,0,0,0,0,0,0,0
chapmke02,2015,1,HOU,AL,3,0,0,0,0,0,0,0,0,0,0,0
chaveje01,2015,1,OAK,AL,30,3,0,1,0,0,0,0,0,0,0,2
chenbr01,2015,1,CLE,AL,2,0,0,0,0,0,0,0,0,0,0,0
chenwe02,2015,1,BAL,AL,31,0,0,0,0,0,0,0,0,0,0,0
chiriro01,2015,1,TEX,AL,78,233,33,54,16,1,10,34,0,0,28,62
chiselo01,2015,1,CLE,AL,106,333,38,82,19,1,7,44,4,1,23,69
choatra01,2015,1,SLN,NL,71,0,0,0,0,0,0,0,0,0,1,0
choicmi01,2015,1,TEX,AL,1,1,0,0,0,0,0,0,0,0,0,1
choosh01,2015,1,TEX,AL,149,555,94,153,32,3,22,82,4,2,76,147
cingrto01,2015,1,CIN,NL,35,2,1,0,0,0,0,1,0,0,0,1
ciriape01,2015,1,ATL,NL,84,142,14,37,8,1,1,15,4,2,2,38
cishest01,2015,1,MIA,NL,32,0,0,0,0,0,0,0,0,0,0,0
cishest01,2015,2,SLN,NL,27,0,0,0,0,0,0,0,0,0,0,0
claudal01,2015,1,TEX,AL,18,0,0,0,0,0,0,0,0,0,0,0
clevest01,2015,1,BAL,AL,30,101,11,29,4,2,2,15,0,0,4,13
clippty01,2015,1,OAK,AL,37,0,0,0,0,0,0,0,0,0,0,0
clippty01,2015,2,NYN,NL,32,1,0,0,0,0,0,0,0,0,0,0
coghlch01,2015,1,CHN,NL,148,440,64,110,25,6,16,41,11,2,58,94
